"","sexe_dente","Airesecteur1_dente","Airesecteur2_dente","Airesecteur3_dente","Airesecteur4_dente","Airesecteur5_dente","Airesecteur6_dente","Airesecteur7_dente","Airesecteur8_dente","CEJ_crete_dente","M_CEJ_dente","BC_dente","Echancrure1_dente","InclinaisonTable_dente","xBA_dente","yBA_dente","PositionyM_dente","PsitionxM_dente","MC_dente","MB_dente","SLaTaOsM_dente","SLaTaOs25_dente","SLaTaOs50_dente","SLaTaOs75_dente","SEpCoM_dente","SEpCo25_dente","SEpCo50_dente","SEpCo75_dente","SEpTaOs2mmC_dente","SEpTaOsTangM_dente","SEpCo2mmC_dente","SEpCo2mmM_dente","SEpTr2mmC_dente","SEpTr2mmM_dente","SEpTr25_dente","SEpTr50_dente","SEpTr75_dente","SEpTrM_dente","SSuToMa_dente","SPeToMa_dente","SSuTrPaAl_dente","SPeTrAl_dente","SSuToCo_dente","SPeToCo_dente","SSuToTr_dente","SPeToTr_dente","SSuCoAl_dente","SPeCoAl_dente","SSuMaPaAl_dente","SPeMaAl_dente","SSuMaPaBas_dente","SPeMaBas_dente","SSuCoBa_dente","SPeCoBas_dente","SSuTrPaBas_dente","SPeBaTr_dente","NGCoC_dente","NGCoB_dente","DiffNG_dente","NGCoApgauche_dente","NGCoApdroite_dente","NGTrabC_dente","NGTrabB_dente","NGTrabN_dente","VEVIApex_dente","LELIApex_dente","VEVIM_dente","LELIM_dente","VEVI2mmC_dente","LELI2mmC_dente","MVE_dente","MVI_dente","MLE_dente","MLI_dente","SSuApexC_dente","SSuApexM_dente","MApex_dente","CApex_dente","SLaTaOsAp_dente","SEpTrAp_dente","SEpCoAp_dente","surf_alv","surf_mand","surf_rac","surf_souche","haut_alv_mand","haut_alv","haut_mand","FM1_edente","FM2_edente"
"1","0","0.052","0.137","0.108","0.058","0.084","0.334","0.182","0.045",11,119,129,"0.989","9.534","50.840","84.944",101,55,81,48,54,45,53,55,23,19,23,25,41,53,4,22,37,31,26,30,30,31,6184,"322.062",2395,"244.267",3016,"606.667",3180,"293.865",1547,"336.066",3949,"257.397",2181,"181.740",1427,"227.581",754,"107.841","96.052","166.388","70.336","152.962","172.963","109.744","95.036","96.955",12,11,9,11,0,3,26,17,26,15,2974,918,18,63,56,31,25,0.121043302101798,0.118046571798189,0.203093476798924,-0.125272331154684,0.0854418775210855,0.283950617283951,0.217054263565891,149,384
"2","1","0.092","0.134","0.064","0.045","0.258","0.233","0.099","0.075",0,63,108,"0.921","44.620","66.630","101.885",126,113,63,45,64,55,82,75,24,14,28,29,29,67,21,26,8,41,41,54,46,40,5866,"517.110",2329,"225.764",2489,"593.199",3377,"269.397",1527,"150.000",3856,"276.350",1946,"187.439",938,"235.421",1008,"129.983","233.926","181.433","-52.493","168.127","187.028","104.795","94.711","95.769",13,15,14,11,11,8,30,16,35,24,1661,2107,29,34,85,55,30,0.133558091286307,0.053017388339584,0.222757375075256,0.0602752728998576,0.043956043956044,0.0793650793650794,0.037037037037037,197,451
"3","1","0.045","0.131","0.114","0.069","0.146","0.307","0.138","0.049",43,101,94,"0.996","17.078","49.829","70.589",80,56,57,37,47,36,51,52,38,28,30,34,30,48,25,40,5,8,8,21,18,9,3813,"240.227",701,"123.640",2935,"405.900",878,"165.581",1712,"299.764",2413,"194.125",1353,"145.841",1185,"176.368",168,"55.941","168.894","222.552","53.658","206.767","239.659","118.861","104.251","164.931",13,25,12,25,12,11,26,14,20,-5,2318,143,2,55,48,8,40,-0.064235391628678,-0.0705481248360871,-0.0612597066436583,0.0629370629370629,0,0,0,275,493
"4","1","0.054","0.131","0.144","0.036","0.041","0.333","0.188","0.072",15,94,132,"0.952","7.901","53.188","86.213",100,55,79,53,49,43,52,50,22,17,21,22,36,50,17,24,19,26,26,31,28,27,5668,"317.113",2045,"207.782",3084,"544.812",2584,"227.613",1521,"374.492",3563,"246.267",2056,"180.569",1545,"210.267",490,"79.698","130.582","194.705","64.124","149.512","185.606","110.132","118.893","111.529",6,12,8,11,9,6,18,10,28,17,2149,1362,28,51,52,33,19,0.385068762278978,0.210479887085392,0.603071195905072,0.052129221732746,0.202189531303455,0.329113924050633,0.159090909090909,193,442
"5","0","0.064","0.150","0.076","0.019","0.029","0.352","0.262","0.048",11,129,152,"0.962","8.790","54.796","93.807",120,54,98,52,49,50,52,47,19,21,25,20,45,48,15,18,30,30,29,27,27,27,7270,"364.901",2770,"261.154",3700,"675.368",3572,"313.341",2018,"454.451",4696,"293.539",2104,"178.083",1653,"235.095",773,"113.012","133.101","216.653","83.553","207.445","212.663","112.089","97.775","119.095",11,11,5,14,5,8,16,10,31,19,1734,2901,60,38,52,30,22,0.31984667802385,0.214030261348006,0.275663206459054,0.324370906583937,0.108742004264392,0.214285714285714,0.118421052631579,132,373
"6","0","0.056","0.285","0.201","0.023","0.045","0.222","0.141","0.028",32,91,126,"0.934","6.357","42.631","86.826",81,42,59,67,35,33,33,35,16,16,21,27,32,35,16,17,16,18,-16,-21,-27,19,4414,"300.324",722,"148.569",2814,"532.871",1600,"233.228",1184,"290.995",1906,"89",4414,"300.324",1614,"284.409",859,"123.941","141.117","180.678","39.561","150.891","93.670","113.951","95.183","122.781",13,9,8,10,12,12,15,7,20,10,972,890,27,32,33,11,22,-0.0713536201469045,-0.0167648391481649,0.0051440329218107,-0.21123595505618,-0.0322033898305085,0.0169491525423729,0.0476190476190476,211,460
"7","0","0.082","0.173","0.083","0.028","0.088","0.231","0.224","0.092",18,94,136,"0.957","13.261","67.842","84.438",96,65,76,60,66,75,80,76,28,27,33,35,35,68,24,30,27,38,48,47,41,37,8075,"365.273",2992,"243.297",3815,"667.536",4404,"308.558",2225,"418.735",5079,"289.681",2930,"222.468",1556,"291.380",1374,"144.912","132.018","183.148","51.129","148.965","190.026","141.719","151.425","90.223",13,18,11,15,8,8,25,14,38,23,2695,2306,32,44,80,45,35,0.34061823193542,0.243467492260062,0.596289424860853,0.0494362532523851,0.151542649727768,0.276315789473684,0.147058823529412,235,455
"8","1","0.125","0.207","0.066","0.033","0.091","0.186","0.189","0.104",19,77,111,"0.982","19.072","60.041","78.923",83,54,58,53,65,53,65,69,39,21,26,34,47,66,24,37,23,29,32,39,35,26,5854,"296.339",1745,"168.125",3386,"518.459",2468,"228.208",1552,"321.764",3297,"229.297",2492,"206.125",1795,"263.037",697,"108.912","180.158","213.191","33.032","180.832","223.203","112.541","94.238","103.117",11,16,18,17,13,10,26,8,36,20,2001,1223,19,39,68,36,30,0.248407643312102,0.175948069695934,0.421789105447276,-0.0220768601798855,0.121906693711968,0.327586206896552,0.234234234234234,217,445
"9","1","0.051","0.159","0.193","0.091","0.126","0.208","0.120","0.052",-2,54,132,"0.989","7.272","58.253","85.812",85,65,64,68,71,50,64,71,20,21,20,23,44,72,36,21,8,51,29,44,48,51,7302,"331.919",2198,"196.125",3391,"602.229",3911,"270.451",1462,"337.664",3660,"243.539",3571,"243.196",1909,"314.350",1662,"171.154","166.701","187.291","20.590","160.579","186.378","128.373","98.007","87.336",9,10,10,11,9,14,42,32,30,19,1489,2109,30,33,65,44,21,-0.194535519125683,-0.0787455491646124,-0.345198119543318,-0.0881934566145093,-0.115277777777778,-0.140625,-0.0227272727272727,220,463
"10","1","0.097","0.227","0.098","0.033","0.134","0.250","0.105","0.056",36,99,126,"0.943","25.545","76.144","81.451",84,78,63,63,61,56,63,65,23,14,19,22,50,63,44,26,6,37,42,44,43,38,6733,"344.635",2138,"210.995",3126,"638.646",3607,"295.321",1497,"383.747",3635,"248.752",3037,"224.953",1606,"304.936",1431,"155.983","135.379","216.592","81.214","187.171","191.990","83.731","87.907","82.297",9,9,10,13,0,-1,28,18,34,21,1493,2081,33,30,64,46,18,0.178817056396149,0.127135006683499,0.395177494976557,0.0288322921672273,0.0175438596491229,0.111111111111111,0.0952380952380952,214,434
"11","1","0.052","0.234","0.170","0.054","0.103","0.273","0.083","0.032",13,99,120,"0.914","16.415","54.625","79.906",79,59,60,60,45,40,45,46,19,17,19,26,40,45,33,23,7,22,-17,-19,-26,26,4881,"312.671",1083,"167.681",2875,"523.228",2006,"239.058",1292,"341.463",2375,"107",4881,"312.671",1564,"264.551",897,"124.426","162.222","210.470","48.249","148.334","84.694","157.939","114.086","110.772",11,6,10,10,26,5,25,15,22,12,1144,1183,27,33,44,27,17,0.334736842105263,0.232534316738373,0.693181818181818,0.00084530853761623,0.149425287356322,0.383333333333333,0.275,223,456
"12","0","0.060","0.146","0.095","0.030","0.069","0.377","0.184","0.040",10,155,149,"0.951","13.620","64.314","128.714",150,69,92,57,54,65,63,55,20,45,38,21,53,54,53,20,0,34,20,25,34,34,7798,"372.067",1951,"228.853",4734,"667.053",3064,"294.936",3231,"452.191",5182,"293.338",2562,"197.882",1483,"260.794",1079,"130.912","135.325","168.236","32.911","148.926","154.420","97.938","97.309","61.723",19,14,9,10,30,0,24,15,27,17,2945,2176,40,52,60,25,35,0.305094558085681,0.252885355219287,0.488964346349745,0.0579044117647059,0.00147106897678985,0.108695652173913,0.10738255033557,192,426
"13","1","0.099","0.180","0.100","0.030","0.084","0.226","0.174","0.107",11,68,106,"0.972","17.163","58.846","82.391",88,56,57,49,56,50,64,64,29,15,27,32,45,58,14,29,31,29,35,37,32,27,5198,"285.872",1735,"172.083",2871,"492.070",2383,"215.157",1332,"300.309",3039,"222.711",2103,"184.569",1482,"231.095",621,"100.527","161.223","204.550","43.327","159.502","227.457","114.242","186.165","133.494",11,14,11,18,9,4,21,10,36,18,1345,1623,27,30,64,37,27,0.177690029615005,0.0230858022316275,0.476579925650558,-0.0671595810227973,0.159581646423752,0.175438596491228,0.0188679245283019,250,492
"14","0","0.072","0.108","0.066","0.026","0.119","0.311","0.221","0.077",19,92,115,"0.977","18.748","62.724","72.047",92,65,73,42,56,66,74,73,22,29,37,50,58,59,33,50,25,9,37,37,23,34,6636,"314.059",2367,"190.652",3754,"548.283",2882,"234.670",2427,"443.505",4794,"266.267",1786,"169.154",1305,"194.953",450,"39.799","85.115","161.707","76.592","122.941","164.238","78.353","90.146","102.907",8,13,8,15,11,18,21,13,36,21,4679,0,2,71,58,34,24,0.284522319566124,0.152200120554551,0.297499465697799,NA,0.140722291407223,0.26027397260274,0.139130434782609,149,413
"15","0","0.042","0.177","0.096","0.013","0.050","0.438","0.155","0.028",38,120,136,"0.886","15.492","69.204","142.243",161,75,82,54,33,54,52,41,20,27,28,26,37,32,26,20,11,12,27,24,15,17,5268,"340.606",1462,"197.882",3174,"611.555",2094,"272.122",2052,"426.877",3514,"254.995",1721,"162.426",1102,"238.853",619,"102.426","139.754","159.269","19.515","146.097","147.428","100.062","106.367","87.308",13,15,7,14,0,-1,12,7,20,6,2113,1352,35,47,51,23,28,0.309334092202618,0.228739559605163,0.619025082820634,-0.161242603550296,0.106941838649156,0.317073170731707,0.235294117647059,274,487
"16","1","0.049","0.131","0.089","0.023","0.044","0.348","0.273","0.043",9,171,161,"0.894","7.637","67.654","120.147",147,69,108,53,46,60,63,58,16,25,22,22,16,47,16,18,0,29,35,41,36,30,7700,"404.398",3182,"250.225",3705,"692.527",4019,"299.713",2246,"474.978",5416,"323.581",2238,"181.154",1431,"234.167",807,"113.012","116.221","183.613","67.392","150.553","167.547","73.893","75.208","107.633",11,13,8,11,0,10,21,13,26,15,3178,2170,41,67,65,41,24,0.445531757754801,0.297922077922078,0.70862177470107,0.0658986175115207,0.195473251028807,0.37037037037037,0.217391304347826,226,493
